go_term,name,n_selected,selection_frequency,selected_seeds,stability_class
GO:0003676,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0003677,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0003700,DNA-binding TF activity,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0003723,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0003729,mRNA binding,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0004497,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0004672,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0004674,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0005515,protein binding,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0005524,ATP binding,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0005575,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0005576,extracellular region,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0005737,cytoplasm,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0005739,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0005777,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0005789,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0005829,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
GO:0005975,,20,1.0,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,core
